region;price;year;manufacturer;model;condition;cylinders;fuel;transmission;type;paint_color;state
prescott;13500;2012;gmc;canyon;excellent;4 cylinders;gas;automatic;truck;red;az
prescott;13500;2013;infiniti;g37;good;6 cylinders;gas;automatic;coupe;grey;az
tucson;13500;2005;ford;f-250 super duty;good;6 cylinders;diesel;automatic;pickup;brown;az
tucson;13500;2012;honda;crv ex awd;good;4 cylinders;gas;automatic;SUV;brown;az
tucson;13500;2006;toyota;tacoma;excellent;6 cylinders;gas;automatic;truck;red;az
tucson;13500;2000;toyota;tundra;excellent;8 cylinders;gas;automatic;pickup;green;az
fayetteville;13500;2013;nissan;pathfinder;good;6 cylinders;gas;automatic;SUV;custom;ar
bakersfield;13500;2004;toyota;tacoma;excellent;4 cylinders;gas;automatic;pickup;black;ca
bakersfield;13500;2015;ford;transit connect;excellent;4 cylinders;gas;automatic;van;white;ca
bakersfield;13500;2006;ford;mustang;excellent;8 cylinders;gas;manual;convertible;black;ca
bakersfield;13500;2014;mini;countryman;like new;4 cylinders;gas;automatic;hatchback;black;ca
fresno / madera;13500;1999;chevrolet;corvette;like new;8 cylinders;gas;automatic;coupe;white;ca
fresno / madera;13500;2000;ford;f-350 super duty;good;8 cylinders;diesel;automatic;truck;white;ca
fresno / madera;13500;2015;ford;transit connect;excellent;4 cylinders;gas;automatic;van;white;ca
gold country;13500;2014;honda;crv;excellent;4 cylinders;gas;automatic;SUV;white;ca
humboldt county;13500;2013;volkswagen;passat tdi se;excellent;4 cylinders;diesel;automatic;sedan;silver;ca
humboldt county;13500;2015;mercedes-benz;cla 250;excellent;4 cylinders;gas;automatic;sedan;white;ca
imperial county;13500;1969;chevrolet;caprice classic;good;8 cylinders;gas;automatic;coupe;blue;ca
imperial county;13500;2011;ford;f-150;good;8 cylinders;gas;automatic;truck;grey;ca
inland empire;13500;2008;chevrolet;silverado crew cab;excellent;8 cylinders;gas;automatic;truck;white;ca
inland empire;13500;1995;ford;crew cab dually 3500;excellent;8 cylinders;gas;automatic;truck;black;ca
inland empire;13500;2016;mini;cooper countryman;excellent;4 cylinders;gas;automatic;coupe;grey;ca
los angeles;13500;2009;bmw;z4 3.0i;good;6 cylinders;gas;automatic;convertible;white;ca
los angeles;13500;2008;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;truck;white;ca
los angeles;13500;2008;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;truck;white;ca
los angeles;13500;2008;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;truck;white;ca
sierra vista;13499;2007;chevrolet;colorado lt;good;5 cylinders;gas;automatic;pickup;black;az
huntsville / decatur;13495;2015;buick;encore convenience;excellent;4 cylinders;gas;automatic;SUV;white;al
flagstaff / sedona;13495;2004;nissan;frontier;like new;6 cylinders;gas;automatic;truck;black;az
phoenix;13495;2013;honda;pilot;excellent;6 cylinders;gas;automatic;SUV;silver;az
fayetteville;13495;2016;chevrolet;cruze;good;4 cylinders;gas;automatic;sedan;silver;ar
bakersfield;13495;2008;ford;mustang;excellent;8 cylinders;gas;automatic;coupe;red;ca
fresno / madera;13495;2008;ford;mustang;excellent;8 cylinders;gas;automatic;coupe;red;ca
los angeles;13490;2017;volkswagen;tiguan 2.0;excellent;4 cylinders;gas;automatic;SUV;blue;ca
mobile;13454;2012;honda;cr-v;excellent;4 cylinders;gas;automatic;SUV;silver;al
huntsville / decatur;13450;2006;dodge;magnum srt8;excellent;8 cylinders;gas;automatic;wagon;black;al
fresno / madera;13450;2017;volkswagen;passat;excellent;4 cylinders;gas;automatic;sedan;white;ca
anchorage / mat-su;13400;2012;honda;odyssey;excellent;6 cylinders;gas;automatic;van;silver;ak
chico;13400;2013;audi;a6 premium plus;excellent;4 cylinders;gas;automatic;sedan;grey;ca
bakersfield;13351;2015;kia;soul;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;13351;2015;kia;soul;excellent;4 cylinders;gas;automatic;sedan;white;ca
fairbanks;13350;2015;honda;accord coupe ex-l;excellent;6 cylinders;gas;automatic;coupe;red;ak
flagstaff / sedona;13300;2014;mini;cooper roadster;excellent;4 cylinders;gas;manual;convertible;grey;az
yuma;13300;1978;chevrolet;silverado;good;8 cylinders;gas;automatic;pickup;red;az
bakersfield;13220;2015;chevrolet;malibu;excellent;4 cylinders;gas;automatic;sedan;white;ca
tucson;13200;2001;ford;mustang;excellent;8 cylinders;gas;manual;coupe;green;az
show low;13163;2015;chevrolet;traverse;excellent;6 cylinders;gas;automatic;SUV;blue;az
anchorage / mat-su;13000;2011;honda;civic si sedan;excellent;4 cylinders;gas;manual;sedan;red;ak
anchorage / mat-su;13000;2018;chevrolet;cruze ls sedan 4d;excellent;4 cylinders;gas;automatic;sedan;silver;ak
fairbanks;13000;2006;gmc;sierra 2500hd;fair;8 cylinders;diesel;automatic;pickup;grey;ak
flagstaff / sedona;13000;2007;bmw;530xit;excellent;6 cylinders;gas;automatic;wagon;grey;az
mohave county;13000;2006;ford;f-150;good;8 cylinders;gas;automatic;truck;blue;az
phoenix;13000;2016;subaru;impreza hatchback;excellent;4 cylinders;gas;manual;hatchback;white;az
phoenix;13000;2013;infiniti;g37 sedan x;good;6 cylinders;gas;automatic;sedan;blue;az
phoenix;13000;2011;subaru;wrx;good;4 cylinders;gas;manual;sedan;silver;az
phoenix;13000;2012;bmw;535i;excellent;6 cylinders;gas;automatic;sedan;white;az
prescott;13000;1999;ford;f-250 super duty;good;10 cylinders;gas;automatic;truck;white;az
little rock;13000;2003;honda;s2000;good;4 cylinders;gas;manual;convertible;silver;ar
little rock;13000;1968;pontiac;gto;fair;8 cylinders;gas;manual;coupe;blue;ar
chico;13000;2002;chevrolet;silverado;good;8 cylinders;diesel;automatic;pickup;brown;ca
chico;13000;1989;jaguar;xjs convertible;good;12 cylinders;gas;automatic;convertible;blue;ca
fresno / madera;13000;2004;ford;f-150;good;8 cylinders;gas;automatic;truck;black;ca
inland empire;13000;1999;ford;super duty f-350;good;8 cylinders;diesel;automatic;pickup;white;ca
inland empire;13000;2013;bmw;535i;good;6 cylinders;gas;automatic;sedan;black;ca
los angeles;13000;2011;toyota;highlander;excellent;6 cylinders;gas;automatic;SUV;black;ca
birmingham;12999;2014;dodge;charger;good;8 cylinders;gas;automatic;sedan;black;al
phoenix;12999;2011;mercedes-benz;benz gl550 4matic;excellent;8 cylinders;gas;automatic;SUV;white;az
phoenix;12999;2008;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;truck;silver;az
phoenix;12999;2003;gmc;sierra 2500hd;fair;8 cylinders;diesel;automatic;truck;brown;az
phoenix;12999;1998;chevrolet;camaro z28;excellent;8 cylinders;gas;automatic;coupe;red;az
phoenix;12999;2007;mercedes-benz;cls550;excellent;8 cylinders;gas;automatic;sedan;black;az
phoenix;12999;2011;mercedes-benz;benz gl550 4matic;excellent;8 cylinders;gas;automatic;SUV;white;az
phoenix;12999;2008;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;truck;silver;az
phoenix;12999;2003;gmc;sierra 2500hd;fair;8 cylinders;diesel;automatic;truck;brown;az
tucson;12999;2011;volvo;c70 convertible;excellent;6 cylinders;gas;automatic;convertible;red;az
tucson;12999;2012;toyota;sienna xle;like new;6 cylinders;gas;automatic;van;green;az
tucson;12999;2014;kia;sorento;good;6 cylinders;gas;automatic;SUV;custom;az
tucson;12999;2008;ram;2500;excellent;8 cylinders;gas;automatic;truck;white;az
tucson;12999;2008;ram;2500;excellent;8 cylinders;gas;automatic;truck;white;az
tucson;12999;2008;ram;2500;excellent;8 cylinders;gas;automatic;truck;white;az
tucson;12999;2012;toyota;sienna xle;like new;6 cylinders;gas;automatic;mini-van;green;az
tucson;12999;2008;ram;2500;excellent;8 cylinders;gas;automatic;truck;white;az
bakersfield;12999;2013;volkswagen;eos komfort;excellent;4 cylinders;gas;automatic;convertible;blue;ca
bakersfield;12999;1990;buick;reatta;excellent;6 cylinders;gas;automatic;convertible;white;ca
fresno / madera;12999;2015;ford;escape;like new;4 cylinders;gas;automatic;SUV;white;ca
fresno / madera;12999;2015;chrysler;200;excellent;4 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;12999;2018;chevrolet;cruze;excellent;4 cylinders;gas;automatic;sedan;silver;ca
bakersfield;12998;2014;dodge;charger;excellent;6 cylinders;gas;automatic;sedan;white;ca
bakersfield;12998;2015;dodge;journey;excellent;4 cylinders;gas;automatic;SUV;grey;ca
huntsville / decatur;12995;2013;toyota;camry se;excellent;4 cylinders;gas;automatic;sedan;red;al
anchorage / mat-su;12995;2015;kia;optima lx;excellent;4 cylinders;gas;automatic;sedan;black;ak
anchorage / mat-su;12995;2015;kia;optima lx;excellent;4 cylinders;gas;automatic;sedan;black;ak
anchorage / mat-su;12995;2015;kia;optima lx;excellent;4 cylinders;gas;automatic;sedan;black;ak
flagstaff / sedona;12995;2007;lexus;rx350;like new;6 cylinders;gas;automatic;SUV;blue;az
phoenix;12995;2016;nissan;sentra;excellent;4 cylinders;gas;automatic;sedan;grey;az
phoenix;12995;2008;ford;ranger;excellent;6 cylinders;gas;automatic;pickup;white;az
phoenix;12995;2014;honda;civic sedan;excellent;4 cylinders;gas;automatic;sedan;brown;az
phoenix;12995;2015;jeep;patriot;excellent;4 cylinders;gas;automatic;SUV;grey;az
phoenix;12995;2004;ford;econoline;good;8 cylinders;gas;automatic;van;white;az
phoenix;12995;2013;buick;lacrosse;like new;6 cylinders;gas;automatic;sedan;white;az
prescott;12995;2003;jeep;wrangler;like new;6 cylinders;gas;automatic;offroad;blue;az
sierra vista;12995;2007;ford;f-150 xlt;good;8 cylinders;other;automatic;pickup;white;az
tucson;12995;2016;jeep;patriot;excellent;4 cylinders;gas;automatic;SUV;red;az
tucson;12995;2004;ford;econoline;good;8 cylinders;gas;automatic;van;white;az
tucson;12995;2015;kia;optima;excellent;4 cylinders;hybrid;automatic;sedan;black;az
tucson;12995;2014;cadillac;ats;excellent;4 cylinders;gas;automatic;sedan;silver;az
tucson;12995;2016;hyundai;sonata hybrid;excellent;4 cylinders;hybrid;automatic;sedan;red;az
tucson;12995;2009;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;pickup;white;az
tucson;12995;2017;buick;verano;excellent;4 cylinders;gas;automatic;sedan;grey;az
tucson;12995;2017;ford;fiesta;excellent;4 cylinders;gas;automatic;sedan;black;az
tucson;12995;2014;ford;fusion;excellent;4 cylinders;gas;automatic;sedan;white;az
tucson;12995;2013;ford;escape;excellent;4 cylinders;gas;automatic;SUV;black;az
tucson;12995;2015;nissan;altima;excellent;4 cylinders;gas;automatic;sedan;white;az
tucson;12995;2015;ford;fusion;excellent;4 cylinders;gas;automatic;sedan;grey;az
tucson;12995;2002;ford;f250;excellent;10 cylinders;gas;automatic;pickup;black;az
tucson;12995;2015;hyundai;sonata;excellent;4 cylinders;gas;automatic;sedan;red;az
fayetteville;12995;2009;infiniti;g convertible;good;6 cylinders;gas;automatic;convertible;blue;ar
fayetteville;12995;2018;hyundai;elantra;good;4 cylinders;gas;automatic;sedan;blue;ar
fayetteville;12995;2012;audi;q5 quattro premium plus;good;4 cylinders;gas;automatic;SUV;white;ar
fayetteville;12995;2017;ford;focus;good;4 cylinders;gas;automatic;sedan;black;ar
fayetteville;12995;2014;cadillac;srx luxury collection;good;6 cylinders;gas;automatic;SUV;white;ar
little rock;12995;2016;hyundai;santa fe sport;good;4 cylinders;gas;automatic;wagon;red;ar
bakersfield;12995;2012;toyota;corolla s;like new;4 cylinders;gas;automatic;sedan;blue;ca
bakersfield;12995;2012;toyota;corolla s;like new;4 cylinders;gas;automatic;sedan;blue;ca
chico;12995;2015;nissan;altima 2.5 s;excellent;4 cylinders;gas;automatic;sedan;red;ca
chico;12995;2006;ford;f-150 xlt rwd;excellent;8 cylinders;gas;automatic;truck;red;ca
chico;12995;2013;nissan;altima 3.5 sl;excellent;6 cylinders;gas;automatic;sedan;black;ca
fresno / madera;12995;2007;chevrolet;tahoe ls;good;8 cylinders;gas;automatic;SUV;grey;ca
fresno / madera;12995;2015;chevrolet;cruze;good;4 cylinders;gas;automatic;sedan;grey;ca
fresno / madera;12995;2012;subaru;impreza;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;12995;2015;chevrolet;cruze;good;4 cylinders;gas;automatic;sedan;grey;ca
fresno / madera;12995;2016;volkswagen;passat 1.8t se;excellent;4 cylinders;gas;automatic;sedan;custom;ca
fresno / madera;12995;2007;chevrolet;tahoe ls;good;8 cylinders;gas;automatic;SUV;grey;ca
fresno / madera;12995;2016;chevrolet;malibu limited;good;4 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;12995;2015;chevrolet;cruze;good;4 cylinders;gas;automatic;sedan;grey;ca
fresno / madera;12995;2012;subaru;impreza;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;12995;2012;chevrolet;colorado;excellent;4 cylinders;gas;automatic;pickup;white;ca
humboldt county;12995;2014;chevrolet;cruze;excellent;4 cylinders;gas;automatic;sedan;white;ca
humboldt county;12995;2017;ford;focus;excellent;3 cylinders;gas;automatic;sedan;silver;ca
humboldt county;12995;2018;kia;soul ex plus;excellent;4 cylinders;gas;automatic;wagon;blue;ca
inland empire;12995;2013;honda;accord;good;4 cylinders;gas;automatic;sedan;white;ca
los angeles;12995;2015;nissan;rogue;excellent;4 cylinders;gas;automatic;SUV;grey;ca
phoenix;12991;2015;jeep;cherokee trailhawk;good;6 cylinders;gas;automatic;other;white;az
huntsville / decatur;12990;2008;ford;f-150;good;8 cylinders;gas;automatic;truck;white;al
inland empire;12990;2011;bmw;335i;excellent;6 cylinders;gas;automatic;sedan;blue;ca
mohave county;12988;1990;toyota;4x4 pickup;good;6 cylinders;gas;manual;pickup;white;az
fayetteville;12988;2013;volkswagen;passat;like new;4 cylinders;diesel;automatic;sedan;blue;ar
fayetteville;12988;2013;volkswagen;passat;excellent;4 cylinders;gas;automatic;sedan;blue;ar
jonesboro;12983;2013;ford;edge;excellent;6 cylinders;gas;automatic;SUV;silver;ar
birmingham;12950;2005;bmw;z4;excellent;6 cylinders;gas;automatic;convertible;white;al
birmingham;12950;2011;honda;crv ex;excellent;4 cylinders;gas;automatic;SUV;silver;al
birmingham;12950;2007;mazda;mx-5 miata touring;excellent;4 cylinders;gas;automatic;convertible;black;al
birmingham;12950;2007;mazda;mx-5 miata touring;excellent;4 cylinders;gas;automatic;convertible;black;al
birmingham;12950;2011;honda;crv ex;excellent;4 cylinders;gas;automatic;SUV;silver;al
birmingham;12950;2005;bmw;z4;excellent;6 cylinders;gas;automatic;convertible;white;al
huntsville / decatur;12950;2014;ford;taurus limited;excellent;6 cylinders;gas;automatic;sedan;red;al
montgomery;12950;2011;mercedes-benz;benz ml 350 4-matic;excellent;6 cylinders;gas;automatic;SUV;black;al
anchorage / mat-su;12950;2015;dodge;journey;excellent;6 cylinders;gas;automatic;SUV;blue;ak
phoenix;12950;2014;honda;cr-v;excellent;4 cylinders;gas;automatic;SUV;brown;az
phoenix;12950;2010;hyundai;genesis coupe;excellent;4 cylinders;gas;manual;coupe;black;az
phoenix;12950;2012;chevrolet;tahoe ls;excellent;8 cylinders;gas;automatic;SUV;white;az
phoenix;12950;2012;chevrolet;tahoe ls;excellent;8 cylinders;gas;automatic;SUV;white;az
phoenix;12950;2012;chevrolet;tahoe ls;excellent;8 cylinders;gas;automatic;SUV;white;az
tucson;12950;2011;mazda;miata mx-5 grand touring;like new;4 cylinders;gas;automatic;convertible;grey;az
tucson;12950;2011;mazda;miata mx-5 grand touring;like new;4 cylinders;gas;automatic;convertible;grey;az
jonesboro;12950;2015;chrysler;200;good;6 cylinders;gas;automatic;sedan;white;ar
bakersfield;12950;2003;chevrolet;avalanche 1500;excellent;8 cylinders;gas;automatic;truck;black;ca
fresno / madera;12950;2012;dodge;grand caravan;excellent;6 cylinders;gas;automatic;mini-van;white;ca
birmingham;12900;2014;nissan;rogue sv;good;4 cylinders;gas;automatic;SUV;red;al
birmingham;12900;2013;nissan;frontier s king cab;good;4 cylinders;gas;manual;pickup;silver;al
birmingham;12900;2015;volkswagen;passat;excellent;4 cylinders;diesel;automatic;sedan;white;al
birmingham;12900;2011;lincoln;mkx;like new;6 cylinders;gas;automatic;SUV;black;al
florence / muscle shoals;12900;2013;ford;f-150;good;8 cylinders;gas;automatic;truck;white;al
huntsville / decatur;12900;1999;jeep;wrangler;good;6 cylinders;gas;manual;SUV;white;al
anchorage / mat-su;12900;2019;nissan;versa;excellent;4 cylinders;gas;automatic;sedan;white;ak
anchorage / mat-su;12900;2013;ford;escape;excellent;4 cylinders;gas;automatic;SUV;silver;ak
phoenix;12900;2009;chevrolet;tahoe ls 4x4;good;8 cylinders;gas;automatic;SUV;white;az
phoenix;12900;2013;cadillac;ats;excellent;6 cylinders;gas;automatic;sedan;black;az
phoenix;12900;2017;ford;escape se ecoboost;excellent;4 cylinders;gas;automatic;SUV;brown;az
phoenix;12900;2004;lexus;gx470;good;8 cylinders;gas;automatic;SUV;blue;az
phoenix;12900;2009;chevrolet;tahoe ls 4x4;good;8 cylinders;gas;automatic;SUV;white;az
phoenix;12900;2012;ram;1500 quad cab;like new;8 cylinders;gas;automatic;pickup;white;az
phoenix;12900;2012;honda;odyssey ex-l;like new;6 cylinders;gas;automatic;sedan;brown;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
tucson;12900;2013;mercedes-benz;benz c300;like new;6 cylinders;gas;automatic;sedan;black;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
tucson;12900;2010;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;red;az
fayetteville;12900;2011;chevrolet;camaro;excellent;6 cylinders;gas;automatic;coupe;black;ar
fayetteville;12900;1986;porsche;944 turbo;good;4 cylinders;gas;manual;other;red;ar
little rock;12900;2008;ford;f-150;excellent;8 cylinders;gas;automatic;truck;brown;ar
texarkana;12900;2012;honda;cr-v;excellent;4 cylinders;gas;automatic;SUV;black;ar
texarkana;12900;2013;honda;civic;excellent;4 cylinders;gas;automatic;sedan;white;ar
bakersfield;12900;2014;honda;crv exl cr-v ex-l;like new;4 cylinders;gas;automatic;truck;brown;ca
chico;12900;2016;subaru;forester awd;excellent;4 cylinders;gas;automatic;SUV;blue;ca
gold country;12900;1999;ford;f350 super duty;excellent;10 cylinders;gas;automatic;truck;grey;ca
inland empire;12900;2016;dodge;grand caravan;excellent;6 cylinders;gas;automatic;van;black;ca
inland empire;12900;2012;honda;accord;like new;4 cylinders;gas;automatic;sedan;grey;ca
inland empire;12900;2012;lexus;rx 350;excellent;6 cylinders;gas;automatic;SUV;silver;ca
inland empire;12900;2015;audi;a3;like new;4 cylinders;gas;automatic;sedan;black;ca
inland empire;12900;2015;kia;sedona;excellent;6 cylinders;gas;automatic;van;custom;ca
los angeles;12900;2018;hyundai;elantra se;like new;4 cylinders;gas;automatic;sedan;silver;ca
los angeles;12900;2013;nissan;pathfinder sv;like new;6 cylinders;gas;automatic;SUV;silver;ca
los angeles;12900;2013;chevrolet;malibu;excellent;4 cylinders;gas;automatic;sedan;blue;ca
inland empire;12897;2016;ford;fusion se;excellent;4 cylinders;gas;automatic;sedan;grey;ca
phoenix;12888;2008;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;red;az
fayetteville;12888;2016;ford;fusion;good;4 cylinders;gas;automatic;sedan;white;ar
los angeles;12850;2020;nissan;versa;like new;4 cylinders;gas;automatic;sedan;grey;ca
chico;12833;2019;nissan;versa sv;like new;4 cylinders;gas;automatic;sedan;silver;ca
phoenix;12800;2004;toyota;land cruiser;good;8 cylinders;gas;automatic;SUV;grey;az
prescott;12800;2013;honda;pilot;like new;6 cylinders;gas;automatic;SUV;silver;az
prescott;12800;2013;honda;pilot;like new;6 cylinders;gas;automatic;SUV;silver;az
fayetteville;12800;2015;chrysler;300;good;6 cylinders;gas;automatic;sedan;black;ar
mobile;12788;2010;lexus;gs 350;like new;6 cylinders;gas;automatic;sedan;silver;al
fayetteville;12788;2014;nissan;maxima 3.5 s;good;6 cylinders;other;automatic;sedan;black;ar
fayetteville;12788;2014;nissan;maxima 3.5 s;good;6 cylinders;other;automatic;sedan;black;ar
mobile;12777;2013;honda;accord;like new;4 cylinders;gas;automatic;sedan;white;al
mohave county;12777;2016;chevrolet;cruze lt;excellent;4 cylinders;gas;automatic;sedan;silver;az
fresno / madera;12750;2011;jeep;grand cherokee;excellent;6 cylinders;gas;automatic;SUV;silver;ca
fresno / madera;12750;2011;jeep;grand cherokee;excellent;6 cylinders;gas;automatic;SUV;silver;ca
montgomery;12700;2015;hyundai;sonata;like new;4 cylinders;gas;other;coupe;white;al
fresno / madera;12700;2014;honda;civic lx sedan;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;12700;2014;honda;civic lx;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;12700;2013;hyundai;santa fe;excellent;4 cylinders;gas;automatic;SUV;black;ca
show low;12675;2017;chevrolet;malibu;excellent;4 cylinders;gas;automatic;sedan;black;az
flagstaff / sedona;12635;1999;chevrolet;suburban 1500;excellent;8 cylinders;gas;automatic;SUV;red;az
prescott;12628;2010;ford;f-150 xlt 4x4;excellent;8 cylinders;gas;automatic;truck;white;az
mobile;12590;2015;volvo;xc90 r-design;excellent;6 cylinders;gas;automatic;SUV;blue;al
bakersfield;12537;2017;volkswagen;jetta;excellent;4 cylinders;gas;automatic;sedan;black;ca
birmingham;12500;2008;ford;ranger xlt;excellent;6 cylinders;gas;automatic;truck;grey;al
birmingham;12500;2008;gmc;yukon xl;excellent;8 cylinders;gas;automatic;SUV;black;al
birmingham;12500;2008;ford;ranger xlt;excellent;6 cylinders;gas;automatic;truck;grey;al
gadsden-anniston;12500;2015;kia;soul;excellent;4 cylinders;gas;automatic;hatchback;red;al
huntsville / decatur;12500;1999;toyota;4runner;excellent;8 cylinders;gas;automatic;SUV;green;al
huntsville / decatur;12500;2017;toyota;corolla;good;4 cylinders;gas;automatic;sedan;black;al
huntsville / decatur;12500;2017;toyota;corolla;good;4 cylinders;gas;automatic;sedan;black;al
huntsville / decatur;12500;2017;toyota;corolla;good;4 cylinders;gas;automatic;sedan;black;al
huntsville / decatur;12500;2017;toyota;corolla;good;4 cylinders;gas;automatic;sedan;black;al
mobile;12500;2014;toyota;prius v five;excellent;4 cylinders;hybrid;automatic;wagon;silver;al
mobile;12500;2011;gmc;yukon denali;excellent;8 cylinders;gas;automatic;SUV;silver;al
tuscaloosa;12500;2003;jeep;wrangler;good;6 cylinders;gas;manual;SUV;silver;al
anchorage / mat-su;12500;2008;saturn;sky redline turbo;like new;4 cylinders;gas;manual;convertible;silver;ak
anchorage / mat-su;12500;2012;bmw;3 series;excellent;4 cylinders;gas;automatic;sedan;black;ak
kenai peninsula;12500;2016;toyota;prius;good;4 cylinders;gas;automatic;coupe;blue;ak
flagstaff / sedona;12500;2013;cadillac;srx;excellent;6 cylinders;gas;manual;SUV;black;az
mohave county;12500;1969;jeep;cj5;excellent;6 cylinders;gas;manual;offroad;blue;az
mohave county;12500;2015;nissan;rogue;good;6 cylinders;gas;automatic;SUV;grey;az
phoenix;12500;2013;bmw;x3 xdrive28i;excellent;4 cylinders;gas;automatic;SUV;silver;az
phoenix;12500;2013;ford;f-150 xlt;excellent;6 cylinders;gas;automatic;pickup;white;az
phoenix;12500;2007;toyota;sequoia;excellent;8 cylinders;gas;automatic;SUV;white;az
phoenix;12500;2018;hyundai;elantra;like new;4 cylinders;gas;automatic;sedan;blue;az
phoenix;12500;2013;cadillac;srx;like new;6 cylinders;gas;automatic;SUV;white;az
prescott;12500;2007;rover;lr3;excellent;8 cylinders;gas;manual;offroad;grey;az
tucson;12500;2014;acura;ilx;excellent;4 cylinders;gas;automatic;sedan;silver;az
tucson;12500;2014;dodge;durango sxt;excellent;6 cylinders;gas;automatic;SUV;black;az
tucson;12500;2012;ford;f-150;like new;8 cylinders;gas;automatic;truck;white;az
tucson;12500;2004;gmc;yukon xl;excellent;8 cylinders;gas;automatic;SUV;white;az
fort smith;12500;2007;ford;f350 xlt;good;8 cylinders;diesel;automatic;truck;white;ar
little rock;12500;2015;kia;sedona;like new;4 cylinders;gas;automatic;mini-van;brown;ar
little rock;12500;2011;mercedes-benz;benz c300;excellent;6 cylinders;gas;automatic;sedan;black;ar
little rock;12500;1969;ford;galaxie 500 xl;good;8 cylinders;gas;automatic;other;white;ar
little rock;12500;2016;volkswagen;jetta;excellent;4 cylinders;gas;automatic;sedan;black;ar
texarkana;12500;2004;dodge;2500;excellent;6 cylinders;diesel;automatic;pickup;black;ar
bakersfield;12500;2007;chrysler;300;excellent;8 cylinders;gas;automatic;sedan;black;ca
fresno / madera;12500;2005;ford;f150;excellent;8 cylinders;gas;automatic;pickup;white;ca
fresno / madera;12500;2002;ford;e350 bucket van;excellent;10 cylinders;gas;automatic;van;white;ca
fresno / madera;12500;2013;toyota;corolla;good;4 cylinders;gas;automatic;sedan;silver;ca
humboldt county;12500;2012;mazda;mazdaspeed3;excellent;4 cylinders;gas;manual;hatchback;white;ca
humboldt county;12500;2002;toyota;land cruiser;excellent;8 cylinders;gas;automatic;offroad;blue;ca
inland empire;12500;2007;mercedes-benz;slk350;good;6 cylinders;gas;automatic;other;black;ca
inland empire;12500;2001;ford;f250 crew cab;excellent;10 cylinders;gas;automatic;truck;blue;ca
los angeles;12500;2008;toyota;tacoma;good;6 cylinders;gas;automatic;truck;white;ca
los angeles;12500;2007;mercedes-benz;slk350;good;6 cylinders;gas;automatic;other;black;ca
los angeles;12500;1968;jeep;cj5;good;6 cylinders;gas;automatic;truck;red;ca
inland empire;12499;2017;ford;c-max energi titanium;excellent;4 cylinders;hybrid;automatic;hatchback;white;ca
flagstaff / sedona;12495;2014;chevrolet;impala;excellent;6 cylinders;gas;automatic;sedan;black;az
fayetteville;12495;2016;chevrolet;cruze limited;good;4 cylinders;gas;automatic;sedan;black;ar
humboldt county;12495;2016;ford;focus se;excellent;4 cylinders;gas;automatic;sedan;grey;ca
inland empire;12495;2014;acura;rdx;good;6 cylinders;gas;automatic;SUV;black;ca
los angeles;12495;2014;acura;rdx;good;6 cylinders;gas;automatic;SUV;black;ca
los angeles;12495;2014;acura;rdx;good;6 cylinders;gas;automatic;SUV;black;ca
tucson;12490;2014;acura;mdx;excellent;6 cylinders;gas;automatic;SUV;grey;az
huntsville / decatur;12477;2016;honda;hrv;excellent;4 cylinders;gas;automatic;SUV;black;al
huntsville / decatur;12450;2013;kia;optima sx turbo;like new;4 cylinders;gas;automatic;sedan;black;al
huntsville / decatur;12450;2012;honda;cr-v ex-l;excellent;4 cylinders;gas;automatic;SUV;green;al
fresno / madera;12450;2013;hyundai;sonata hybrid;excellent;4 cylinders;hybrid;automatic;sedan;blue;ca
fresno / madera;12450;2017;kia;optima;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;12450;2015;hyundai;santa fe;excellent;6 cylinders;gas;automatic;SUV;silver;ca
fresno / madera;12450;2013;hyundai;sonata hybrid;excellent;4 cylinders;hybrid;automatic;sedan;blue;ca
show low;12440;2017;chevrolet;malibu;good;4 cylinders;gas;automatic;sedan;black;az
bakersfield;12432;2016;chevrolet;malibu limited;excellent;4 cylinders;gas;automatic;sedan;white;ca
mobile;12400;2011;mercedes-benz;glk-class glk350;excellent;6 cylinders;gas;automatic;SUV;black;al
